Country,Name,Total_Sold,Rank_Position
Austria,"Symphony No. 41 in C Major, K. 551, ""Jupiter"": IV. Molto allegro",1,1
Austria,Thinking 'Bout Tomorrow,1,1
Austria,Transylvania,1,1
Austria,Vertigo,1,1
Austria,Wake Up Alone,1,1
Austria,Wasting Love,1,1
Austria,When I Look At The World,1,1
Austria,Won't Get Fooled Again (Full Length Version),1,1
Austria,You Better You Bet,1,1
Austria,You Could Be Mine,1,1
Belgium,Angel,1,1
Belgium,Babylon,1,1
Belgium,Boris The Spider,1,1
Belgium,Bullet With Butterfly Wings,1,1
Belgium,Caffeine,1,1
Belgium,Cherub Rock,1,1
Belgium,Cuckoo For Caca,1,1
Belgium,"De Do Do Do, De Da Da Da",1,1
Belgium,Deuces Are Wild,1,1
Belgium,Disarm,1,1
Belgium,Dog Eat Dog,1,1
Belgium,Easy,1,1
Belgium,Falling To Pieces,1,1
Belgium,I Looked At You,1,1
Belgium,Janie's Got A Gun,1,1
Belgium,Kindergarten,1,1
Belgium,Leave,1,1
Belgium,Let's See Action,1,1
Belgium,Life Line,1,1
Belgium,Love In An Elevator,1,1
Belgium,Love Removal Machine,1,1
Belgium,Master Of Puppets,1,1
Belgium,Overdose,1,1
Belgium,Rhinocerous,1,1
Belgium,Saint Of Me,1,1
Belgium,Save The Children,1,1
Belgium,She Loves Me Not,1,1
Belgium,Sister Awake,1,1
Belgium,Stripsearch,1,1
Belgium,Suck On The Jugular,1,1
Belgium,Sweet Soul Sister,1,1
Belgium,Time Is On My Side,1,1
Belgium,Under My Thumb,1,1
Belgium,Undertow,1,1
Belgium,What A Day,1,1
Belgium,Woodpecker From Mars,1,1
Belgium,You Got Me Rocking,1,1
Belgium,You Sure Love To Ball,1,1
Brazil,Untitled,2,1
Brazil,1/2 Full,1,2
Brazil,2 Minutes To Midnight,1,2
Brazil,A Cor Do Sol,1,2
Brazil,A Cura,1,2
Brazil,A Menina Dança,1,2
Brazil,"Abraham, Martin And John",1,2
Brazil,Aces High,1,2
Brazil,Admirável Gado Novo,1,2
Brazil,All Along The Watchtower,1,2
Brazil,All I Want Is You,1,2
Brazil,Aloha,1,2
Brazil,Amor De Muito,1,2
Brazil,Animal,1,2
Brazil,Any Colour You Like,1,2
Brazil,Aos Leões,1,2
Brazil,Babyface,1,2
Brazil,Back off Bitch,1,2
Brazil,Bad,1,2
Brazil,Bad Seed,1,2
Brazil,Banditismo Por Uma Questa,1,2
Brazil,Be Good Johnny,1,2
Brazil,Be Mine,1,2
Brazil,Big Wave,1,2
Brazil,Binky The Doormat,1,2
Brazil,Bittersweet Me,1,2
Brazil,Black,1,2
Brazil,Black Light Syndrome,1,2
Brazil,Bora-Bora,1,2
Brazil,Bossa,1,2
Brazil,Burden In My Hand,1,2
Brazil,Calling Dr. Love,1,2
Brazil,Carolina Hard-Core Ecstasy,1,2
Brazil,Casa,1,2
Brazil,Caso Você Queira Saber,1,2
Brazil,Child In Time,1,2
Brazil,Cinema Mudo,1,2
Brazil,Cold Gin,1,2
Brazil,Coma,1,2
Brazil,Communication Breakdown(2),1,2
Brazil,Cristina Nº 2,1,2
Brazil,Cropduster,1,2
Brazil,Cry For Love,1,2
Brazil,Cérebro Eletrônico,1,2
Brazil,D'Yer Mak'er,1,2
Brazil,Damage Inc.,1,2
Brazil,Dance,1,2
Brazil,Demorou!,1,2
Brazil,Dissident,1,2
Brazil,Don't Cry (Original),1,2
Brazil,Don't Look Back,1,2
Brazil,Doutor,1,2
Brazil,Down Under,1,2
Brazil,Down by the Sea,1,2
Brazil,Drifter,1,2
Brazil,Duelists,1,2
Brazil,Dust N' Bones,1,2
Brazil,Electrolite,1,2
Brazil,Eu Amo Você,1,2
Brazil,Everything I Need,1,2
Brazil,Experiment In Terra,1,2
Brazil,Eye,1,2
Brazil,Fantasia On Greensleeves,1,2
Brazil,Fast As a Shark,1,2
Brazil,Flower,1,2
Brazil,Flying High Again,1,2
Brazil,Fool In The Rain,1,2
Brazil,Garden of Eden,1,2
Brazil,"Get Down, Make Love",1,2
Brazil,Get Up,1,2
Brazil,Girl From A Pawnshop,1,2
Brazil,Go Down,1,2
Brazil,Green Disease,1,2
Brazil,Grito De Alerta,1,2
Brazil,Heart Of Lothian: Wide Boy / Curtain Call,1,2
Brazil,Hell Ain't A Bad Place To Be,1,2
Brazil,Help Yourself,1,2
Brazil,Home Sweet Home,1,2
Brazil,I Belong To You,1,2
Brazil,I Feel Good (I Got You) - Sossego,1,2
Brazil,In Bloom,1,2
Brazil,In The Evening,1,2
Brazil,Interlude Zumbi,1,2
Brazil,Into The Light,1,2
Brazil,Intro,1,2
Brazil,Ipiranga 2001,1,2
Brazil,Is This Love (Live),1,2
Brazil,It's a Mistake,1,2
Brazil,Jesus Christ Pose,1,2
Brazil,"Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto)",1,2
Brazil,Knocking At Your Back Door,1,2
Brazil,Lay Down Sally,1,2
Brazil,Leash,1,2
Brazil,Leper Messiah,1,2
Brazil,Like A Song...,1,2
Brazil,Lindo Lago Do Amor,1,2
Brazil,Linha Do Equador,1,2
Brazil,Live and Let Die,1,2
Brazil,Lixo Do Mangue,1,2
Brazil,Losfer Words,1,2
Brazil,"Mama, I'm Coming Home",1,2
Brazil,Maracatu De Tiro Certeiro,1,2
Brazil,Mateus Enter,1,2
Brazil,Maybe I'm A Leo,1,2
Brazil,Mensagen De Amor (2000),1,2
Brazil,Meu Caro Amigo,1,2
Brazil,Meu Erro,1,2
Brazil,Midnight From The Inside Out,1,2
Brazil,Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos),1,2
Brazil,Morena De Angola,1,2
Brazil,Most High,1,2
Brazil,Mundaréu,1,2
Brazil,"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",1,2
Brazil,Nega Do Cabelo Duro,1,2
Brazil,No No No,1,2
Brazil,No Quarter,1,2
Brazil,Nossa Gente (Avisa Là),1,2
Brazil,Nosso Adeus,1,2
Brazil,Não Vou Ficar,1,2
Brazil,O Descobridor Dos Sete Mares,1,2
Brazil,O Leaozinho,1,2
Brazil,O Que Me Importa,1,2
Brazil,Oceans,1,2
Brazil,On A Plain,1,2
Brazil,Pais E Filhos,1,2
Brazil,Paranoid,1,2
Brazil,Pick Myself Up,1,2
Brazil,Plot 180,1,2
Brazil,Podes Crer,1,2
Brazil,Ponto De Interrogação,1,2
Brazil,Powerslave,1,2
Brazil,Praise,1,2
Brazil,Red Light,1,2
Brazil,Redundant,1,2
Brazil,Refavela (Live),1,2
Brazil,Reggae Tchan,1,2
Brazil,Revolta Olodum,1,2
Brazil,Right Next Door to Hell,1,2
Brazil,Rios Pontes & Overdrives,1,2
Brazil,Rock And Roll Is Dead,1,2
Brazil,Rocket Queen,1,2
Brazil,Saber Amar,1,2
Brazil,Samba Do Lado,1,2
Brazil,Sanctuary,1,2
Brazil,Saudade Dos Aviões Da Panair (Conversando No Bar),1,2
Brazil,Scentless Apprentice,1,2
Brazil,Selvagem,1,2
Brazil,Sereia,1,2
Brazil,Será,1,2
Brazil,Será Que Vai Chover?,1,2
Brazil,Seven Seas Of Rhye,1,2
Brazil,Shakes and Ladders,1,2
Brazil,Shout It Out Loud,1,2
Brazil,Sincero Breu,1,2
Brazil,Slither,1,2
Brazil,Snowballed,1,2
Brazil,"So Fast, So Numb",1,2
Brazil,Sometimes Salvation,1,2
Brazil,Soul Singing,1,2
Brazil,Stand Inside Your Love,1,2
Brazil,Stir It Up (Live),1,2
Brazil,"String Quartet No. 12 in C Minor, D. 703 ""Quartettsatz"": II. Andante - Allegro assai",1,2
Brazil,Strutter,1,2
Brazil,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",1,2
Brazil,Sweetest Thing,1,2
Brazil,"Symphony No. 2, Op. 16 -  ""The Four Temperaments"": II. Allegro Comodo e Flemmatico",1,2
Brazil,Take the Celestra,1,2
Brazil,The Day I Tried To Live,1,2
Brazil,The Great Gig In The Sky,1,2
Brazil,The Memory Remains,1,2
Brazil,The Unforgiven II,1,2
Brazil,The Unwritten Law,1,2
Brazil,Think About You,1,2
Brazil,Title Song,1,2
Brazil,Top Top,1,2
Brazil,TriboTchan,1,2
Brazil,Um Satélite Na Cabeça,1,2
Brazil,Vai Passar,1,2
Brazil,Vai Valer,1,2
Brazil,Vamo Batê Lata,1,2
Brazil,Vavoom : Ted The Mechanic,1,2
Brazil,Voce Nao Entende Nada - Cotidiano,1,2
Brazil,Wanted Dread And Alive,1,2
Brazil,Why Go,1,2
Brazil,X-9 2001,1,2
Brazil,You're My Best Friend,1,2
Brazil,You've Been A Long Time Coming,1,2
Brazil,Your Blue Room,1,2
Brazil,Água de Beber,1,2
Canada,Brasil,2,1
Canada,Good Golly Miss Molly,2,1
Canada,Onde Você Mora?,2,1
Canada,Plaster Caster,2,1
Canada,Turbo Lover,2,1
Chile,A Novidade (Live),1,1
Chile,Aprendendo A Jogar,1,1
Chile,Aquele Abraço,1,1
Chile,Badge,1,1
Chile,Better Halves,1,1
Chile,Black Dog,1,1
Chile,"Crossroads, Pt. 2",1,1
Chile,Fly Me To The Moon,1,1
Chile,Forty Days Instrumental,1,1
Chile,Funk Hum,1,1
Chile,Good Golly Miss Molly,1,1
Chile,Hero,1,1
Chile,Holiday,1,1
Chile,Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,1,1
Chile,Hot Dog,1,1
Chile,I Do,1,1
Chile,I Get A Kick Out Of You,1,1
Chile,Killing Floor,1,1
Chile,Mack The Knife,1,1
Chile,Madalena,1,1
Chile,Misty Mountain Hop,1,1
Chile,Parasite,1,1
Chile,Pau-De-Arara,1,1
Chile,Re-Align,1,1
Chile,Realce,1,1
Chile,"Scheherazade, Op. 35: I. The Sea and Sindbad's Ship",1,1
Chile,See You,1,1
Chile,Stir It Up (Live),1,1
Chile,Sunshine Of Your Love,1,1
Chile,The Crunge,1,1
Chile,The Fix,1,1
Chile,The Glass Ballerina,1,1
Chile,The Ocean,1,1
Chile,The Tower,1,1
Chile,The Woman King,1,1
Chile,Walkabout,1,1
Chile,Wearing And Tearing,1,1
Chile,Wrote A Song For Everyone,1,1
Czech Republic,#9 Dream,1,1
Czech Republic,All I Want Is You,1,1
Czech Republic,Atomic Punk,1,1
Czech Republic,Black Capricorn Day,1,1
Czech Republic,Blissed & Gone,1,1
Czech Republic,Brain Stew,1,1
Czech Republic,Camarão que Dorme e Onda Leva,1,1
Czech Republic,Can You See Me,1,1
Czech Republic,Carolina,1,1
Czech Republic,Collaborators,1,1
Czech Republic,Como Estais Amigos,1,1
Czech Republic,Coração Em Desalinho,1,1
Czech Republic,Crackerman,1,1
Czech Republic,De La Luz,1,1
Czech Republic,Deus Ex Machina,1,1
Czech Republic,Dirty Water Dog,1,1
Czech Republic,Do It For The Kids,1,1
Czech Republic,Email Surveillance,1,1
Czech Republic,Fear Of The Dark,1,1
Czech Republic,Gangland,1,1
Czech Republic,Get What You Need,1,1
Czech Republic,Gimme Some Truth,1,1
Czech Republic,Give Peace a Chance,1,1
Czech Republic,Heartland,1,1
Czech Republic,Hot Girl,1,1
Czech Republic,How The West Was Won And Where It Got Us,1,1
Czech Republic,Humans Being,1,1
Czech Republic,Insensível,1,1
Czech Republic,Judgement Of Heaven,1,1
Czech Republic,Light Years,1,1
Czech Republic,Linha Do Equador,1,1
Czech Republic,"Live Together, Die Alone, Pt. 1",1,1
Czech Republic,Magic Bus,1,1
Czech Republic,"Man of Science, Man of Faith (Premiere)",1,1
Czech Republic,Moonchild,1,1
Czech Republic,Morning Glory,1,1
Czech Republic,My Time After Awhile,1,1
Czech Republic,New Year's Day,1,1
Czech Republic,One Giant Leap,1,1
Czech Republic,Outlaws,1,1
Czech Republic,Par Avion,1,1
Czech Republic,Poprocks And Coke,1,1
Czech Republic,Prenda Minha,1,1
Czech Republic,Revolta Olodum,1,1
Czech Republic,Samba Pra Endrigo,1,1
Czech Republic,Sign Of The Cross,1,1
Czech Republic,Slither,1,1
Czech Republic,So Cruel,1,1
Czech Republic,Still Of The Night,1,1
Czech Republic,Stranger In a Strange Land,1,1
Czech Republic,Stranger in a Strange Land,1,1
Czech Republic,Surrender,1,1
Czech Republic,Take It Or Leave It,1,1
Czech Republic,"Texto ""Verdade Tropical""",1,1
Czech Republic,The Angel And The Gambler,1,1
Czech Republic,The Clairvoyant,1,1
Czech Republic,The Fix,1,1
Czech Republic,The Hard Part,1,1
Czech Republic,The Moth,1,1
Czech Republic,The Seeker,1,1
Czech Republic,The Star Spangled Banner,1,1
Czech Republic,The Wake-Up Bomb,1,1
Czech Republic,The Woman King,1,1
Czech Republic,Unchained,1,1
Czech Republic,Untitled,1,1
Czech Republic,Vida Boa,1,1
Czech Republic,Walkabout,1,1
Czech Republic,Were Do We Go From Here,1,1
Czech Republic,Wet My Bed,1,1
Czech Republic,Whatever Gets You Thru the Night,1,1
Czech Republic,"Whatever It Is, I Just Can't Stop",1,1
Czech Republic,When Evening Falls,1,1
Czech Republic,When I Come Around,1,1
Czech Republic,When You Gonna Learn (Digeridoo),1,1
Czech Republic,Winterlong,1,1
Czech Republic,You're Gonna Break My Hart Again,1,1
Denmark,Around The World,1,1
Denmark,Beautiful Boy,1,1
Denmark,Caçador de Mim (Sá & Guarabyra),1,1
Denmark,Commotion,1,1
Denmark,Dancing Days,1,1
Denmark,Drown,1,1
Denmark,Eu Sou Neguinha (Ao Vivo),1,1
Denmark,Fly By Night,1,1
Denmark,For Your Babies,1,1
Denmark,Freewill,1,1
Denmark,Gimme Some Truth,1,1
Denmark,I Could Die For You,1,1
Denmark,I Like Dirt,1,1
Denmark,Jealous Guy,1,1
Denmark,Lost in Hollywood,1,1
Denmark,Lucky 13,1,1
Denmark,Manguetown,1,1
Denmark,Molina,1,1
Denmark,Muçulmano,1,1
Denmark,Never Say Die,1,1
Denmark,Radio/Video,1,1
Denmark,Run Through The Jungle,1,1
Denmark,Sad Statue,1,1
Denmark,Santana Jam,1,1
Denmark,Sir Psycho Sexy,1,1
Denmark,Susie Q,1,1
Denmark,Sweet Hitch-Hiker,1,1
Denmark,Sympton of the Universe,1,1
Denmark,The Midnight Special,1,1
Denmark,The Right Thing,1,1
Denmark,The Thing That Should Not Be,1,1
Denmark,Tombstone Shadow,1,1
Denmark,Violent Pornography,1,1
Denmark,Vulcão Dub - Fui Eu,1,1
Denmark,Waiting,1,1
Denmark,War Pigs,1,1
Denmark,Welcome Home (Sanitarium),1,1
Denmark,Zé Trindade,1,1
Finland,Eruption,2,1
Finland,A Bencao E Outros,1,2
Finland,Are You Gonna Go My Way,1,2
Finland,Believe,1,2
Finland,Beth,1,2
Finland,Dazed And Confused,1,2
Finland,Dreams,1,2
Finland,Fall To Pieces,1,2
Finland,Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,1,2
Finland,Goin' Blind,1,2
Finland,Hard Luck Woman,1,2
Finland,Heliopolis,1,2
Finland,Higher Ground,1,2
Finland,I Was Made For Loving You,1,2
Finland,It Doesn't Matter,1,2
Finland,L'Avventura,1,2
Finland,Looking For Love,1,2
Finland,Meninos E Meninas,1,2
Finland,Mr. Cab Driver,1,2
Finland,On Fire,1,2
Finland,Paint It Black,1,2
Finland,Plaster Caster,1,2
Finland,Quando Você Voltar,1,2
Finland,Samba pras moças,1,2
Finland,Secrets,1,2
Finland,Soul Parsifal,1,2
Finland,Sweet Lady Luck,1,2
Finland,Tempo Perdido,1,2
Finland,"The Gun On Ice Planet Zero, Pt. 1",1,2
Finland,"The Living Legend, Pt. 1",1,2
Finland,The Lost Warrior,1,2
Finland,The Magnificent Warriors,1,2
Finland,The Show Must Go On,1,2
Finland,Um Homem Chamado Alfredo,1,2
Finland,Waiting On A Sign,1,2
Finland,We Are The Champions,1,2
Finland,Year to the Day,1,2
France,'Round Midnight,1,1
France,(Wish I Could) Hideaway,1,1
France,...And Justice For All,1,1
France,A Banda,1,1
France,A Man And A Woman,1,1
France,A Small Victory,1,1
France,A Statistic,1,1
France,A Sua,1,1
France,Acelerou,1,1
France,"Act IV, Symphony",1,1
France,Adios nonino,1,1
France,All Because Of You,1,1
France,All For You,1,1
France,"Alô, Alô, Marciano",1,1
France,Amor Demais,1,1
France,Ando Meio Desligado,1,1
France,Armadura,1,1
France,As Aparências Enganam,1,1
France,As Rosas Não Falam (Beth Carvalho),1,1
France,Atrás da Porta,1,1
France,"Battlestar Galactica, Pt. 2",1,1
France,Beija-Flor,1,1
France,Billie Jean,1,1
France,Binky The Doormat,1,1
France,Body Count,1,1
France,Body Count's In The House,1,1
France,Born On The Bayou,1,1
France,Bowels Of The Devil,1,1
France,Breakthru,1,1
France,Bê-a-Bá,1,1
France,C'Mon Everybody,1,1
France,Caprichosos,1,1
France,City Of Blinding Lights,1,1
France,Com Açúcar E Com Afeto,1,1
France,Começaria Tudo Outra Vez,1,1
France,Commercial 2,1,1
France,Commotion,1,1
France,Como É Duro Trabalhar,1,1
France,Comportamento Geral,1,1
France,Compulsion,1,1
France,Corduroy,1,1
France,Country Feedback,1,1
France,Crossroads,1,1
France,Dazed and Confused,1,1
France,De Ja Vu,1,1
France,Die Walküre: The Ride of the Valkyries,1,1
France,Do You Have Other Loves?,1,1
France,Do You Like The Way,1,1
France,Don't Go Back To Rockville,1,1
France,Drum Boogie,1,1
France,E.S.P.,1,1
France,Easy,1,1
France,Falando De Amor,1,1
France,Família,1,1
France,For Whom The Bell Tolls,1,1
France,Fortunate Son,1,1
France,Four Sticks,1,1
France,Four Walled World,1,1
France,Frantic,1,1
France,From Out Of Nowhere,1,1
France,Gangland,1,1
France,Gavioes 2001,1,1
France,Go Back,1,1
France,Gota D'água,1,1
France,Green River,1,1
France,Hairshirt,1,1
France,Hats Off To (Roy) Harper,1,1
France,Headlong,1,1
France,Heart In Your Hand,1,1
France,Heaven Coming Down,1,1
France,How to Stop an Exploding Man,1,1
France,I Am,1,1
France,I Believe,1,1
France,I'm Going Slightly Mad,1,1
France,I'm Gonna Crawl,1,1
France,In The Evening,1,1
France,Innuendo,1,1
France,Instinto Colectivo,1,1
France,Iron Man,1,1
France,It's A Hard Life,1,1
France,Jean Pierre (Live),1,1
France,Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,1,1
France,Ji Yeon,1,1
France,Judgement Of Heaven,1,1
France,KKK Bitch,1,1
France,Layla,1,1
France,Lemon Drop,1,1
France,Leper Messiah,1,1
France,Letterbomb,1,1
France,Like a Stone,1,1
France,Lodi,1,1
France,Long As I Can See The Light,1,1
France,"Lost Planet of the Gods, Pt. 1",1,1
France,Love Comes,1,1
France,Low,1,1
France,MFC,1,1
France,Man On The Edge,1,1
France,Manuel,1,1
France,Maria Fumaça,1,1
France,Menino Do Rio,1,1
France,Meu Caro Amigo,1,1
France,Miss Sarajevo,1,1
France,Morena De Angola,1,1
France,Morro Da Casa Verde 2001,1,1
France,Moth,1,1
France,Mr. Brownstone,1,1
France,"Music for the Funeral of Queen Mary: VI. ""Thou Knowest, Lord, the Secrets of Our Hearts""",1,1
France,My Love,1,1
France,N.I.B.,1,1
France,Na Frente Da TV,1,1
France,Night Time Is The Right Time,1,1
France,One Step Closer,1,1
France,Only A Dream In Rio,1,1
France,Over The Hills And Far Away,1,1
France,Parallel Universe,1,1
France,"Partita in E Major, BWV 1006A: I. Prelude",1,1
France,"Past, Present, and Future",1,1
France,Pela Luz dos Olhos Teus (Miúcha e Tom Jobim),1,1
France,Porcelain,1,1
France,Primavera,1,1
France,Prince Charming,1,1
France,"Prometheus Overture, Op. 43",1,1
France,Prá Dizer Adeus,1,1
France,Put Your Lights On,1,1
France,Ramble On,1,1
France,Real Thing,1,1
France,Release,1,1
France,Right On Time,1,1
France,Rita Lee,1,1
France,Salutations,1,1
France,Sam With The Showing Scalp Flat Top,1,1
France,Samba da Bençaco,1,1
France,Sea Of Sorrow,1,1
France,Seis Da Tarde,1,1
France,Shining In The Light,1,1
France,Shoot Me Again,1,1
France,Showcase,1,1
France,Since I've Been Loving You,1,1
France,Sing Joyfully,1,1
France,Slave,1,1
France,Smoke On The Water,1,1
France,Snowblind,1,1
France,Sonata for Solo Violin: IV: Presto,1,1
France,Sound of a Gun,1,1
France,"Spanish moss-""A sound portrait""-Spanish moss",1,1
France,St. Jimmy,1,1
France,Starburst,1,1
France,Suck My Kiss,1,1
France,"Suite No. 3 in D, BWV 1068: III. Gavotte I & II",1,1
France,"Suite for Solo Cello No. 1 in G Major, BWV 1007: I. Prélude",1,1
France,Sweet Hitch-Hiker,1,1
France,Só Tinha De Ser Com Você,1,1
France,"Tapa Aqui, Descobre Ali",1,1
France,Tear,1,1
France,The Begining... At Last,1,1
France,The Gentle Art Of Making Enemies,1,1
France,The Last Remaining Light,1,1
France,The Midnight Special,1,1
France,The Number Of The Beast,1,1
France,The Outlaw Torn,1,1
France,The Pan Piper,1,1
France,The River (Remix),1,1
France,The Unbeliever,1,1
France,The Unforgiven,1,1
France,The Unforgiven II,1,1
France,The Zephyr Song,1,1
France,Theme From The Swan,1,1
France,"There's No Place Like Home, Pt. 3",1,1
France,They're Red Hot,1,1
France,Through a Looking Glass,1,1
France,To Live Is To Die,1,1
France,Travelling Riverside Blues,1,1
France,Trocando Em Miúdos,1,1
France,Ugly In The Morning,1,1
France,Under The Bridge,1,1
France,Under The Sun/Every Day Comes and Goes,1,1
France,Undertow,1,1
France,United Colours,1,1
France,União Da Ilha,1,1
France,Voodoo,1,1
France,Welcome to the Jungle,1,1
France,What A Day,1,1
France,Whiskey In The Jar,1,1
France,Who'll Stop The Rain,1,1
France,Whole Lotta Love,1,1
France,Women In Uniform,1,1
France,Xanadu,1,1
France,Yahweh,1,1
France,Yesterday To Tomorrow,1,1
France,Your Time Is Gonna Come,1,1
Germany,Eruption,2,1
Germany,The Number Of The Beast,2,1
Germany,01 - Prowler,1,3
Germany,A Day In the Life,1,3
Germany,A Touch Away,1,3
Germany,Afraid To Shoot Strangers,1,3
Germany,Alberta,1,3
Germany,All Star,1,3
Germany,Amanhã Não Se Sabe,1,3
Germany,Atras Da Porta,1,3
Germany,Azul,1,3
Germany,Açai,1,3
Germany,Back in the Village,1,3
Germany,Balls to the Wall,1,3
Germany,Beach Sequence,1,3
Germany,Before You Accuse Me,1,3
Germany,Beira Mar,1,3
Germany,Bell Bottom Blues,1,3
Germany,Big Machine,1,3
Germany,Big Wave,1,3
Germany,Blood Brothers,1,3
Germany,Boogie With Stu,1,3
Germany,Boris The Spider,1,3
Germany,Bron-Y-Aur Stomp,1,3
Germany,Bumbo Da Mangueira,1,3
Germany,"Bye, Bye Brasil",1,3
Germany,Caffeine,1,3
Germany,Can't Keep,1,3
Germany,Come Fly With Me,1,3
Germany,Cornucopia,1,3
Germany,Creep,1,3
Germany,Cure,1,3
Germany,Damage Case,1,3
Germany,Dancing In The Street,1,3
Germany,Dark Corners,1,3
Germany,Dazed and Confused,1,3
Germany,Die Die My Darling,1,3
Germany,Disenchanted Lullaby,1,3
Germany,Distractions,1,3
Germany,Down By The Seaside,1,3
Germany,Drifter,1,3
Germany,Estrela (Live),1,3
Germany,Eu E Ela,1,3
Germany,Everything's Ruined,1,3
Germany,"Exodus, Pt. 1",1,3
Germany,Faceless,1,3
Germany,Fear Is The Key,1,3
Germany,Feel Your Love Tonight,1,3
Germany,First Time I Met The Blues,1,3
Germany,Flor De Lis,1,3
Germany,For Your Life,1,3
Germany,Freedom For My People,1,3
Germany,Genesis,1,3
Germany,God Of Thunder,1,3
Germany,Going To California,1,3
Germany,"Hey, Johnny Park!",1,3
Germany,Hots On For Nowhere,1,3
Germany,Hush,1,3
Germany,I Need Love,1,3
Germany,I Still Haven't Found What I'm Looking for,1,3
Germany,I Still Love You,1,3
Germany,I Want It All,1,3
Germany,I'm Going Slightly Mad,1,3
Germany,Into The Fire,1,3
Germany,Iron Maiden,1,3
Germany,Juazeiro,1,3
Germany,Jump,1,3
Germany,Laguna Sunrise,1,3
Germany,Lamento De Carnaval,1,3
Germany,Lamento Sertanejo,1,3
Germany,Lavadeira,1,3
